"","x"
"1","A"
"2","AA"
"3","AAC"
"4","AAN"
"5","AAP"
"6","AAT"
"7","AB"
"8","ABB"
"9","ABBV"
"10","ABC"
"11","ABEV"
"12","ABG"
"13","ABM"
"14","ABR"
"15","ABT"
"16","AC"
"17","ACA"
"18","ACB"
"19","ACC"
"20","ACCO"
"21","ACH"
"22","ACM"
"23","ACN"
"24","ACP"
"25","ACRE"
"26","ACV"
"27","ADC"
"28","ADM"
"29","ADNT"
"30","ADS"
"31","ADSW"
"32","ADT"
"33","ADX"
"34","AEB"
"35","AED"
"36","AEE"
"37","AEG"
"38","AEH"
"39","AEL"
"40","AEM"
"41","AEO"
"42","AEP"
"43","AER"
"44","AES"
"45","AFB"
"46","AFC"
"47","AFG"
"48","AFGB"
"49","AFGE"
"50","AFGH"
"51","AFI"
"52","AFL"
"53","AFT"
"54","AG"
"55","AGCO"
"56","AGD"
"57","AGI"
"58","AGM"
"59","AGN"
"60","AGO"
"61","AGR"
"62","AGRO"
"63","AGS"
"64","AGX"
"65","AHC"
"66","AHH"
"67","AHT"
"68","AI"
"69","AIC"
"70","AIF"
"71","AIG"
"72","AIN"
"73","AIR"
"74","AIT"
"75","AIV"
"76","AIW"
"77","AIY"
"78","AIZ"
"79","AIZP"
"80","AJG"
"81","AJRD"
"82","AJX"
"83","AJXA"
"84","AKR"
"85","AKS"
"86","AL"
"87","ALB"
"88","ALC"
"89","ALE"
"90","ALEX"
"91","ALG"
"92","ALK"
"93","ALL"
"94","ALLE"
"95","ALLY"
"96","ALSN"
"97","ALV"
"98","ALX"
"99","AM"
"100","AMBR"
"101","AMC"
"102","AMCR"
"103","AME"
"104","AMG"
"105","AMH"
"106","AMID"
"107","AMN"
"108","AMOV"
"109","AMP"
"110","AMRC"
"111","AMRX"
"112","AMT"
"113","AMX"
"114","AN"
"115","ANDX"
"116","ANET"
"117","ANF"
"118","ANFI"
"119","ANH"
"120","ANTM"
"121","AOD"
"122","AON"
"123","AOS"
"124","AP"
"125","APA"
"126","APAM"
"127","APC"
"128","APD"
"129","APH"
"130","APHA"
"131","APLE"
"132","APO"
"133","APRN"
"134","APTS"
"135","APTV"
"136","APU"
"137","APY"
"138","AQ"
"139","AQN"
"140","AQNA"
"141","AQNB"
"142","AQUA"
"143","AR"
"144","ARA"
"145","ARC"
"146","ARCH"
"147","ARCO"
"148","ARD"
"149","ARDC"
"150","ARE"
"151","ARES"
"152","ARGD"
"153","ARGO"
"154","ARI"
"155","ARL"
"156","ARLO"
"157","ARMK"
"158","ARNC"
"159","AROC"
"160","ARR"
"161","ARW"
"162","ASA"
"163","ASB"
"164","ASC"
"165","ASG"
"166","ASGN"
"167","ASH"
"168","ASIX"
"169","ASPN"
"170","ASR"
"171","ASX"
"172","AT"
"173","ATEN"
"174","ATGE"
"175","ATH"
"176","ATHM"
"177","ATI"
"178","ATKR"
"179","ATO"
"180","ATR"
"181","ATTO"
"182","ATU"
"183","ATUS"
"184","ATV"
"185","AU"
"186","AUO"
"187","AUY"
"188","AVA"
"189","AVAL"
"190","AVB"
"191","AVD"
"192","AVH"
"193","AVK"
"194","AVLR"
"195","AVNS"
"196","AVP"
"197","AVTR"
"198","AVX"
"199","AVY"
"200","AVYA"
"201","AWF"
"202","AWI"
"203","AWK"
"204","AWP"
"205","AWR"
"206","AX"
"207","AXE"
"208","AXL"
"209","AXO"
"210","AXP"
"211","AXR"
"212","AXS"
"213","AXTA"
"214","AYI"
"215","AYR"
"216","AYX"
"217","AZN"
"218","AZO"
"219","AZRE"
"220","AZUL"
"221","AZZ"
"222","B"
"223","BA"
"224","BABA"
"225","BAC"
"226","BAF"
"227","BAH"
"228","BAM"
"229","BANC"
"230","BAP"
"231","BAS"
"232","BAX"
"233","BB"
"234","BBD"
"235","BBDC"
